Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Cinemaxx;Odense;03-04-2020 21:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;djupedal@live.com;94816860
Cinemaxx;Odense;05-06-2020 15:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;miltchev@yahoo.com;48560738
Cinemaxx;Odense;07-08-2020 19:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;dmath@comcast.net;13877584
Cinemaxx;Århus;20-05-2020 19:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;jkegl@verizon.net;79908480
Cinemaxx;Århus;10-01-2020 21:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;speeves@aol.com;77161028
Nordisk Film;Odense;20-05-2020 15:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;jbailie@outlook.com;91982260
Nordisk Film;Odense;07-08-2020 19:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;cderoove@icloud.com;18406306
Nordisk Film;Odense;07-08-2020 19:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;flavell@gmail.com;45352069
Nordisk Film;Århus;20-05-2020 19:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;scato@icloud.com;71080278
Nordisk Film;Århus;10-01-2020 21:00:00;1917;Drama, Thriller, War ;01:57:00;Sam Mendes;10-01-2020;mallanmba@yahoo.ca;95597338
Cinemaxx;Odense;05-04-2019 19:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;bwcarty@comcast.net;78603148
Cinemaxx;Odense;01-01-2019 21:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;kramulous@yahoo.com;45373471
Cinemaxx;Odense;30-11-2018 15:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;alias@aol.com;98447997
Cinemaxx;Århus;05-04-2019 19:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;malattia@icloud.com;31439399
Cinemaxx;Århus;01-01-2019 21:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;moxfulder@optonline.net;14559186
Nordisk Film;Odense;30-11-2018 15:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;jamuir@comcast.net;23573418
Nordisk Film;Odense;12-02-2019 21:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;heckerman@gmail.com;17971024
Nordisk Film;Odense;12-12-2018 21:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;dgriffith@msn.com;63024480
Nordisk Film;Århus;26-12-2018 19:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;elflord@hotmail.com;80941308
Nordisk Film;Århus;02-05-2019 15:00:00;The Wife;Drama;01:39:00; Björn Runge;27-11-2018;bmorrow@comcast.net;40462260
Cinemaxx;Odense;01-12-2019 19:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;durist@sbcglobal.net;72879172
Cinemaxx;Odense;01-12-2019 19:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;demmel@hotmail.com;10650545
Cinemaxx;Odense;01-12-2019 19:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;miltchev@me.com;85540697
Cinemaxx;Århus;15-11-2019 21:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;eimear@icloud.com;23860147
Cinemaxx;Århus;15-11-2019 21:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;gtaylor@mac.com;65236201
Nordisk Film;Odense;15-11-2019 21:00:00;Ayka;Drama;01:40:00;Sergei Dvortsevoy;07-11-2019;jusdisgi@yahoo.ca;56924579
